"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"197","Brendan Gallagher","MTL","R","51","711.2","13.945098039216","1.35","1.18","0.76","0.42","2.53","71.43","14.76","9.14","1.36","26.07","19.91","15.1","8.1","0.93","2.62","0.84","0.42","0.42","0","0","0.42","1.18","2.11","3.46","4.72","2.28","1.01","1.27","3.75"
"478","Brady Tkachuk","OTT","L","60","886.7","14.778333333333","0.95","0.88","0.68","0.2","1.83","71.05","12.52","7.57","1.32","19.69","16.31","13.13","7.51","1.35","2.1","2.44","1.01","0.88","0.14","0","1.42","1.69","1.83","15.77","6.7","2.3","5.55","6.16","3.21"
"185","Zach Hyman","TOR","C, L","42","642.98333333333","15.309126984127","0.93","1.03","0.47","0.56","1.96","58.33","6.35","14.71","0.88","12.32","9.33","9.24","5.79","0.47","0.93","1.12","0.56","0.56","0","0","0.37","1.03","1.21","3.36","7.37","1.21","1.03","1.31","4.11"
"160","Anders Lee","NYI","C, L","59","876.25","14.851694915254","0.89","0.82","0.41","0.41","1.71","62.50","8.97","9.92","0.98","14.11","12.05","10.68","5.61","0.27","0.89","1.3","0.55","0.48","0.07","0","0.27","2.26","1.1","5.96","4.18","2.94","3.83","4.52","3.14"
"317","William Carrier","VGK","L","61","577.58333333333","9.4685792349727","0.62","1.14","1.04","0.1","1.77","68.00","8.83","7.06","0.81","14.23","11.63","9.14","5.51","0.21","1.14","2.6","1.14","1.04","0.1","0","0.73","0.83","2.08","19.22","11.32","0.93","0.73","0.31","7.27"
"407","Austin Wagner","L.A","L","55","634.36666666667","11.533939393939","0.38","0.47","0.19","0.28","0.85","60.00","10.21","3.70","1.1","16.46","14.66","10.59","5.39","0.66","1.42","1.8","0.76","0.66","0.09","0","0.66","1.7","1.42","11.92","6.05","1.23","0.19","0.57","2.36"
"257","Tomas Hertl","S.J","C","48","640.35","13.340625","0.94","1.03","0.75","0.28","1.97","70.00","7.78","12.05","0.95","12.93","9.84","10.03","5.34","0.47","1.22","1.12","0.56","0.56","0","0","0.56","1.5","1.5","2.62","3.65","1.59","27.27","22.49","5.13"
"343","Tomas Nosek","VGK","L","57","566.55","9.9394736842105","0.53","0.53","0.21","0.32","1.06","55.56","7.63","6.94","0.83","12.92","9.85","8.26","5.3","0.42","0.95","1.48","0.74","0.74","0","0","0.64","1.16","1.59","8.68","9.95","2.01","17.26","15.57","5.57"
"217","Brandon Saad","CHI","L","48","624.6","13.0125","1.34","0.96","0.58","0.38","2.31","82.76","9.13","14.74","0.97","13.93","11.62","10.66","5.28","0.67","0.67","0.96","0.48","0.48","0","0","0.38","1.34","2.02","2.11","3.94","1.63","1.54","2.31","3.84"
"118","Adam Henrique","ANA","C","60","772.75","12.879166666667","1.24","0.78","0.54","0.23","2.02","72.22","8.46","14.68","0.89","14.91","12.81","10.33","5.28","0.7","0.93","0.62","0.31","0.31","0","0","0.54","1.71","1.4","4.35","2.41","1.48","23.22","20.34","4.14"
"111","Tyler Ennis","OTT","C, R","60","711.7","11.861666666667","0.76","1.18","0.84","0.34","1.94","76.67","8.77","8.65","0.96","14.58","12.9","9.1","5.23","0.25","1.85","0.84","0.42","0.42","0","0","0.93","1.1","1.85","5.9","6.74","1.69","0.51","0.67","3.61"
"340","Garnet Hathaway","WSH","R","56","528.01666666667","9.428869047619","0.57","0.57","0.34","0.23","1.14","62.50","6.82","8.33","0.86","12.61","9.55","8.86","5.23","0.34","1.48","3.75","1.25","1.02","0.11","0.11","2.16","1.82","1.48","17.73","8.3","3.86","0.8","1.82","3.46"
"212","Blake Coleman","N.J","C","57","747.76666666667","13.118713450292","1.28","0.56","0.16","0.4","1.85","67.65","12.2","10.53","0.94","18.29","15.25","10.59","5.14","0.8","0.32","1.93","0.96","0.96","0","0","0.8","1.04","2.33","12.44","3.77","2.49","2.01","3.85","2.75"
"28","Alex Ovechkin","WSH","L","58","839.96666666667","14.482183908046","1.57","0.57","0.36","0.21","2.14","75.00","11.93","13.17","0.96","21.57","15.57","12.36","5.14","0.93","1.29","1.29","0.64","0.64","0","0","0.71","2.14","1.21","10","2.36","1.29","0.07","0","7.14"
"370","Warren Foegele","CAR","L","59","741.45","12.566949152542","0.65","1.29","0.73","0.57","1.94","70.59","8.82","7.34","0.95","14.24","11.73","9.87","5.1","0.49","1.54","1.29","0.65","0.65","0","0","0.65","1.7","2.67","4.45","6.55","1.21","1.29","1.46","3.81"
"64","Jordan Staal","CAR","C","59","784.23333333333","13.29209039548","0.46","0.69","0.38","0.31","1.15","55.56","7.19","6.38","0.83","11.48","9.79","9.03","5.05","0.54","0.69","1.22","0.61","0.61","0","0","0.46","2.07","1.68","8.57","5.59","1.76","31.9","27.08","4.14"
"79","James van Riemsdyk","PHI","L","60","726","12.1","1.16","1.24","0.91","0.33","2.4","78.38","8.18","14.14","0.86","14.05","10.83","9.42","5.04","0.17","1.57","0.5","0.25","0.25","0","0","0.25","0.66","1.07","1.82","4.13","1.32","0.5","1.07","2.61"
"349","William Nylander","TOR","C, R","59","855.21666666667","14.495197740113","1.26","1.19","0.7","0.49","2.46","81.40","9.19","13.74","0.89","13.26","11.51","8.91","4.98","0.21","0.91","0.42","0.21","0.21","0","0","0.42","2.03","2.53","0.56","3.44","0.77","6.31","6.52","3.45"
"394","Timo Meier","S.J","R","59","811.28333333333","13.750564971751","1.11","1.11","0.81","0.3","2.22","88.24","9.24","12.00","0.87","15.6","12.72","9.91","4.81","0.59","1.04","1.48","0.74","0.74","0","0","0.89","1.92","1.85","9.47","5.62","2","0.59","1.11","2.57"
